date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:21	517/517	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267900edc-205%22	https://getmarkcubanmemes.top/fonts/icon_chevron_up.svg	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/icon_chevron_up.svg	(from https://getmarkcubanmemes.top/)
16:02:22	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=676715b9a1e3ee4a3dec8579	C:/My%20Web%20Sites/trumpoffreedom/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8520a.js	(from https://getmarkcubanmemes.top/)
16:02:22	226204/226204	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267900edc-3739c%22	https://getmarkcubanmemes.top/js/relume-template---sept-20-ecece4197fc38.js	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/js/relume-template---sept-20-ecece4197fc38.js	(from https://getmarkcubanmemes.top/)
16:02:22	226/226	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267900edc-e2%22	https://getmarkcubanmemes.top/fonts/chevron-down.svg	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/chevron-down.svg	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:22	226/226	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267900edc-e2%22	https://getmarkcubanmemes.top/fonts/chevron-down-white.svg	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/chevron-down-white.svg	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:23	71315/71315	---M--	200	added ('OK')	image/png	etag:%2267900edc-11693%22	https://getmarkcubanmemes.top/images/Grain_Latest.png	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/images/Grain_Latest.png	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:23	1170/1170	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267900edc-492%22	https://getmarkcubanmemes.top/fonts/Webflow-Background.svg	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/Webflow-Background.svg	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:23	92814/92814	---M--	200	added ('OK')	image/webp	etag:%2267900edc-16a8e%22	https://getmarkcubanmemes.top/images/Black-gold-wave_1Black-gold-wave.webp	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/images/Black-gold-wave_1Black-gold-wave.webp	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:24	189783/189783	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267900edc-2e557%22	https://getmarkcubanmemes.top/fonts/dt_signature.svg	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/dt_signature.svg	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:24	58973/58973	---M--	200	added ('OK')	image/png	etag:%2267900edc-e65d%22	https://getmarkcubanmemes.top/images/Grain_50p.png	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/images/Grain_50p.png	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:24	162734/162734	---M--	200	added ('OK')	image/jpeg	etag:%2267900edc-27bae%22	https://getmarkcubanmemes.top/images/iStock-2156293682.jpg	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/images/iStock-2156293682.jpg	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:25	1687/1687	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267900edc-697%22	https://getmarkcubanmemes.top/fonts/intothe-rainbow-9.svg	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/intothe-rainbow-9.svg	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:25	10583/10583	---M--	200	added ('OK')	image/png	etag:%226790e984-2957%22	https://getmarkcubanmemes.top/images/MarkCuban-silhouette.png	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/images/MarkCuban-silhouette.png	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:27	1851/1851	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267900edc-73b%22	https://getmarkcubanmemes.top/fonts/rippling-target-2.svg	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/rippling-target-2.svg	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:27	623869/623869	---M--	200	added ('OK')	image/png	etag:%2267900edc-984fd%22	https://getmarkcubanmemes.top/images/IMG_4923_clipped_rev_1.png	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/images/IMG_4923_clipped_rev_1.png	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:29	66946/66946	---M--	200	added ('OK')	image/webp	etag:%2267900edc-10582%22	https://getmarkcubanmemes.top/images/stars-stripes-3_1stars-stripes-3.webp	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/images/stars-stripes-3_1stars-stripes-3.webp	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:29	40538/40538	---M--	200	added ('OK')	image/webp	etag:%2267900edc-9e5a%22	https://getmarkcubanmemes.top/images/stars-stripes-2_1stars-stripes-2.webp	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/images/stars-stripes-2_1stars-stripes-2.webp	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:31	25484/25484	---M--	200	added ('OK')	font/woff2	etag:%2267900edc-638c%22	https://getmarkcubanmemes.top/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/fa-regular-400.woff2	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:33	158224/158224	---M--	200	added ('OK')	font/woff2	etag:%2267900edc-26a10%22	https://getmarkcubanmemes.top/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/fa-solid-900.woff2	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:34	118724/118724	---M--	200	added ('OK')	font/woff2	etag:%2267900edc-1cfc4%22	https://getmarkcubanmemes.top/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/fonts/fa-brands-400.woff2	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
16:02:35	783969/783969	---M--	200	added ('OK')	image/webp	etag:%2267911aa9-bf661%22	https://getmarkcubanmemes.top/images/Community5_1Community5.webp	C:/My%20Web%20Sites/trumpoffreedom/getmarkcubanmemes.top/images/Community5_1Community5.webp	(from https://getmarkcubanmemes.top/css/relume-template---sept-20-ecece4197fc38.css)
